url_from,url_to
https://www.data-blogger.com/2017/02/24/gathering-tweets-with-python/,https://twitter.com/share?text=Gathering+Tweets+with+Python&url=https%3A%2F%2Fwww.data-blogger.com%2F2017%2F02%2F24%2Fgathering-tweets-with-python%2F&via=kmjjacobs
https://www.data-blogger.com/2017/02/24/gathering-tweets-with-python/,https://www.facebook.com/sharer.php?u=https%3A%2F%2Fwww.data-blogger.com%2F2017%2F02%2F24%2Fgathering-tweets-with-python%2F
https://www.data-blogger.com/2017/02/24/gathering-tweets-with-python/,https://www.data-blogger.com/tag/python/
https://www.data-blogger.com/2017/02/24/gathering-tweets-with-python/,https://www.data-blogger.com/tag/data-mining/
https://www.data-blogger.com/2017/02/24/gathering-tweets-with-python/,https://www.data-blogger.com/tag/twitter/
https://www.data-blogger.com/2017/02/24/gathering-tweets-with-python/,https://www.data-blogger.com/2017/02/22/getting-rich-using-bitcoin-stockprices-and-twitter/
https://www.data-blogger.com/2017/02/24/gathering-tweets-with-python/,https://www.data-blogger.com/2017/02/26/artificial-neural-nets-a-gentle-introduction/
https://www.data-blogger.com/2017/02/24/gathering-tweets-with-python/,https://www.data-blogger.com/2016/08/13/apache-flink-the-next-distributed-data-processing-revolution/
https://www.data-blogger.com/2017/02/24/gathering-tweets-with-python/,https://www.data-blogger.com/2016/08/18/scraping-a-website-with-python-scrapy/
https://www.data-blogger.com/2017/02/24/gathering-tweets-with-python/,https://www.data-blogger.com/2017/08/27/gru-implementation-tensorflow/
https://www.data-blogger.com/author/sarena/,https://www.data-blogger.com/
https://www.data-blogger.com/2017/02/24/gathering-tweets-with-python/,https://www.data-blogger.com/2017/06/15/fraud-detection-a-simple-machine-learning-approach/
https://www.data-blogger.com/2017/02/24/gathering-tweets-with-python/,https://www.data-blogger.com/category/book-review/
https://www.data-blogger.com/2017/02/24/gathering-tweets-with-python/,https://www.data-blogger.com/category/uncategorized/
https://www.data-blogger.com/2017/02/24/gathering-tweets-with-python/,https://www.data-blogger.com/2017/05/17/elman-rnn-implementation-in-tensorflow/
https://www.data-blogger.com/2017/02/24/gathering-tweets-with-python/,https://www.data-blogger.com/2017/04/07/building-a-tic-tac-toe-web-app-with-webpack-babel-react-redux/
https://www.data-blogger.com/author/sarena/,https://www.data-blogger.com/category/do-it-yourself/
